id;nombre
175;FOSFATO MONOCALCICO MONOH FG
176;FOSFATO MONOPOTASICO PURO
177;FOSFATO MONOSODICO DIH
178;FOSFATO TRICALCICO PURO
179;FOSFATO TRISODICO CRISTAL
180;FURFURAL TECNICO
181;GLICERINA PURA
182;GLUCONATO DE SODIO 99% FG
183;GLUTAMATO MONOSODICO 99%
184;GOMA ARABIGA Granular
185;GOMA ARABIGA Polvo
186;GOMA GUAR 5000/5500 Cps FG
187;GOMA LACA ABTN
188;GOMA XANTICA 99% FG
189;GRAFITO
190;HEMATITA
191;HEXAMETAFOSFATO DE SODIO
192;HIDROQUINONA
193;HIDROSULFITO DE SODIO
194;HIPOCLORITO DE SODIO Solución 100 gr
195;HIPOSULFITO DE SODIO PENTAH
196;HORMIXAN Productos
197;INDICADOR PAPEL PH
198;IODO SUBLIMADO 99,5%
199;IODURO DE POTASIO USP
200;JABON INDUSTRIAL Polvo
201;JABON LIQ.VERDE BAJA ESPUMA
202;LACTOSA PA
203;LANOLINA ANHIDRA AA
204;LAURIL SULFATO SODIO 30%
205;LAURIL SULFATO SODIO 70%
206;LAURIL SULFATO SODIO ETOX 25%
207;LECITINA DE SOJA
208;LIGNOSULFONATO DE SODIO
209;LIMPIADOR CREMOSO
210;LIMPIADOR DESENGRASANTE
211;LIMPIAVIDRIOS
212;LIQUIDO P/INODORO QUIMICO
213;LITARGIRIO
214;MAGNESIO NITRATO R/A x250g UNID
215;MAGNESITA CALCINADA
216;MAGNESITA CALCINADA FEED GRADE
217;METABISULFITO DE POTASIO
218;METABISULFITO DE SODIO
219;METABISULFITO DE SODIO FG
220;METANOL DESNATURALIZADO
221;METASILICATO DE SODIO ANH
222;METASILICATO DE SODIO PENTAH
223;METILPARABENO (NIPAGIN)
224;MINIO
225;MIRISTATO DE ISOPROPILO
226;MOLIBDATO DE SODIO
227;MONOESTEARATO DE GLICERILO
228;MONOETANOLAMINA 99%
229;MONOETILENGLICOL 99%
230;MORFOLINA
231;NAFTALINA
232;NITRATO DE CALCIO
233;NITRATO DE POTASIO CRISTAL
234;NITRATO DE SODIO 98%
235;NITRITO DE SODIO 99%
236;NONILFENOL ETOXILADO 10M
237;ORTODICLOROBENCENO
238;OXIDO DE ALUMINIO
239;OXIDO DE CERIO
240;OXIDO DE ZINC SELLO BLANCO FA
241;PARAFINA 52/54º
242;PARAFINA 56/58º
243;PARAFORMALDEHIDO
244;PERBORATO DE SODIO TETRAH
245;PERCLOROETILENO 99,7%
246;PERCLORURO DE HIERRO Solución
247;PEROXIDO DE HIDROGENO
248;PERSULFATO DE AMONIO
249;PERSULFATO DE POTASIO
250;PERSULFATO DE SODIO
251;PH REDUCTOR
252;PIEDRA POMEZ
253;PIROFOSFATO ACIDO DE SODIO FG
254;PIROFOSFATO NEUTRO DE SODIO
255;PLATA NITRATO 0,1 MOL/L x1L
256;PLATA NITRATO PA s/ACS x100g
257;PLOMO NITRATO PA x1Kg frasx1UNID
258;POLIETILENGLICOL 400
259;POLVO PARA LAVAR T/BAJA ESPUMA
260;POTASIO BICROMATO PA x250g
261;POTASIO BICROMATO PA x25g
262;POTASIO BIFTALATO PA x100g
263;POTASIO CARBONATO PURO x250g frasx1UNID
264;POTASIO CIANURO PA x250g
265;POTASIO CLORURO PA x 1 kg UNIDx1UNID
266;POTASIO CLORURO PA x250g
267;POTASIO CROMATO PA x250g
268;POTASIO FOSF MONOB PA x250g
269;POTASIO IODATO PA
270;POTASIO IODURO PA
271;POTASIO IODURO PA x 250 gr
272;POTASIO NITRATO PA
273;POTASIO OXALATO PA
274;PROPILENGLICOL
275;PROPILENGLICOL USP
